행정구역별,연도,15세이상어가인구
부산광역시,2020,4057
인천광역시,2020,3374
울산광역시,2020,1367
경기도,2020,1257
강원도,2020,3787
충청남도,2020,13166
전라북도,2020,4529
전라남도,2020,32734
경상북도,2020,4565
경상남도,2020,16088
제주특별자치도,2020,6463
부산광역시,2010,6758
인천광역시,2010,6362
울산광역시,2010,2683
경기도,2010,2232
강원도,2010,7578
충청남도,2010,24999
전라북도,2010,6062
전라남도,2010,49702
경상북도,2010,9653
경상남도,2010,26412
제주특별자치도,2010,12960
부산광역시,2005,9604
인천광역시,2005,7902
울산광역시,2005,3093
경기도,2005,3334
강원도,2005,11222
충청남도,2005,24591
전라북도,2005,9030
전라남도,2005,60857
경상북도,2005,13598
경상남도,2005,37435
제주도,2005,16289
부산광역시,2015,5401
인천광역시,2015,4816
울산광역시,2015,2139
경기도,2015,1745
강원도,2015,5323
충청남도,2015,17076
전라북도,2015,5981
전라남도,2015,40418
경상북도,2015,6481
경상남도,2015,21174
제주특별자치도,2015,9134
